Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,IPA_Morphology_R,IPA_Production_R,IPA_UR,IPA_SR
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-kelako,굵게라고,굴께라고,kul.ge.la.ko,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-kelako,kul.k*e.la.ko,lk-k,lk*
kulk-ko,굵고,굴꼬,kul.go,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ko,kul.k*o,lk-k,lk*
kulk-cikhako,굵직하고,굴찍하고,kul.Jik.ha.ko,lk-c,lJ,1,0,,,1,lC+Obstruen,kulk-cikhako,kul.c*ik.ha.ko,lk-c,lc*
kulm-konxn,굶고는,굶꼬는,kulm.go.nxn,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-konɨn,kulm.k*o.nɨn,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꾸,kum.gu,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*u,lm-k,mk*
kulm-txnka,굶든가,굼던가,kum.tvn.ka,lm-t,mt,0,1,,,0,lC+Obstruen,kulm-tɨnka,kum.tʌn.ka,lm-t,mt
kxlk-ko,긁고,극꼬,kxk.go,lk-k,kg,0,1,,,1,lC+Obstruen,kɨlk-ko,kɨk.k*o,lk-k,kk*
kxlk-kvna,긁거나,글꺼나,kxl.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-kʌna,kɨl.k*ʌ.na,lk-k,lk*
kxlk-ko,긁고,글꼬,kxl.go,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-ko,kɨl.k*o,lk-k,lk*
kxlk-kil,긁길,글킬,kxl.Kil,lk-k,lK,1,0,,,0,lC+Obstruen,kɨlk-kil,kɨl.kʰil,lk-k,lkʰ
kxlk-ko,긁고,끌꼬,gxl.go,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-ko,k*ɨl.k*o,lk-k,lk*
nvlp-ko,넓고,널고,nvl.ko,lp-k,lk,1,0,,,0,lC+Obstruen,nʌlp-ko,nʌl.ko,lp-k,lk
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꾸,nvl.gu,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*u,lp-k,lk*
nvlp-ki,넓기,널끼,nvl.gi,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ki,nʌl.k*i,lp-k,lk*
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-ta,nʌl.t*a,lp-t,lt*
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-ta,nʌl.t*a,lp-t,lt*
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-tako,nʌl.t*a.ko,lp-t,lt*
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-tako,nʌl.t*a.ko,lp-t,lt*
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,,,1,lC+Obstruen,nʌlp-cika,nʌl.c*i.ka,lp-c,lc*
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,,,1,lC+Obstruen,nʌlp-cika,nʌl.c*i.ka,lp-c,lc*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-sxpnita,넓습니다,넓슴니다,nvlp.sxm.ni.ta,lp-s,lps,0,0,,,0,lC+Obstruen,nʌlp-sɨpnita,nʌlp.sɨm.ni.ta,lp-s,lps
nvlp-cin,넓진,넓찐,nvlp.Jin,lp-c,lpJ,0,0,,,1,lC+Obstruen,nʌlp-cin,nʌlp.c*in,lp-c,lpc*
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,,,1,lC+Obstruen,nʌlp-ko,nʌp.k*o,lp-k,pk*
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,,,1,lC+Obstruen,nʌlp-ko,nʌp.k*o,lp-k,pk*
nvlp-canhayo,넓잖아요,넙짜나요,nvp.Ja.na.yo,lp-c,pJ,0,1,,,1,lC+Obstruen,nʌlp-canhajo,nʌp.c*a.na.jo,lp-c,pc*
nvlp-cvkhako,넓적하고,넙쩍하고,nvp.Jvk.ha.ko,lp-c,pJ,0,1,,,1,lC+Obstruen,nʌlp-cʌkhako,nʌp.c*ʌk.ha.ko,lp-c,pc*
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-ki,nɨl.k*i,lk-k,lk*
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-ki,nɨl.k*i,lk-k,lk*
nxlk-kinxn,늙기는,늘끼는,nxl.gi.nxn,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-kinɨn,nɨl.k*i.nɨn,lk-k,lk*
nxlk-tolok,늙도록,늘또록,nxl.do.lok,lk-t,lJ,1,0,,,1,lC+Obstruen,nɨlk-tolok,nɨl.t*o.lok,lk-t,lc*
nxlk-caka,늙자가,늘짜가,nxl.Ja.ka,lk-c,lJ,1,0,,,1,lC+Obstruen,nɨlk-caka,nɨl.c*a.ka,lk-c,lc*
nxlk-canhayo,늙잖아요,늘짜나요,nxl.Ja.na.yo,lk-c,lJ,1,0,,,1,lC+Obstruen,nɨlk-canhajo,nɨl.c*a.na.jo,lk-c,lc*
nxlk-ca,늙자,늙짜,nxlk.Ja,lk-c,lkJ,0,0,,,1,lC+Obstruen,nɨlk-ca,nɨlk.c*a,lk-c,lkc*
talm-ko,닮고,달꼬,tal.go,lm-k,lg,1,0,,,1,lC+Obstruen,talm-ko,tal.k*o,lm-k,lk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
