Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,tensify,nasalize,lateralize,Type,notes,IPA_Morphology_R,IPA_Production_R,IPA_UR,IPA_SR
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxntako,굶는다고,굼는다고,kum.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨntako,kum.nɨn.ta.ko,lm-n,mn
kulm-nxntanxn,굶는다는,굼는다는,kum.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨntanɨn,kum.nɨn.ta.nɨn,lm-n,mn
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,kɨlk-nɨn,kɨk.nɨn,lk-n,kn
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,kɨlk-nɨn,kɨk.nɨn,lk-n,kn
nxlk-nxn,늙는,늑는,nxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,nɨlk-nɨn,nɨk.nɨn,lk-n,kn
nxlk-nxn,늙는,늘는,nxl.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,nɨlk-nɨn,nɨl.nɨn,lk-n,ln
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨn,tam.nɨn,lm-n,mn
talm-nxnta,닮는다,담는다,tam.nxn.ta,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨnta,tam.nɨn.ta,lm-n,mn
talm-nxntako,닮는다고,담는다고,tam.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨntako,tam.nɨn.ta.ko,lm-n,mn
talm-nxntanxn,닮는다는,담는다는,tam.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨntanɨn,tam.nɨn.ta.nɨn,lm-n,mn
palp-nxn,밟는,발는,pal.nxn,lp-n,ln,1,0,0,0,0,lC+Sonorant,,palp-nɨn,pal.nɨn,lp-n,ln
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨn,s*am.nɨn,lm-n,mn
salm-nxntatxnka,삶는다든가,쌈는다든가,Sam.nxn.ta.txn.ka,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨntatɨnka,s*am.nɨn.ta.tɨn.ka,lm-n,mn
ilk-napwayo,읽나봐요,익나봐요,ik.na.pwa.yo,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-napwajo,ik.na.pwa.jo,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxntatxnci,읽는다든지,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨntatɨnci,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
