Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n,IPA_Morphology_R,IPA_UR,IPA_SR
Jalp-a,짧아,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-a,lp-a,lpa
Jalp-acici,짧아지지,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-acici,lp-a,lpa
Jalp-aciko,짧아지고,,,lp-a,lpa,0,0,,,0,lC+Vowel,5,c*alp-aciko,lp-a,lpa
Jalp-aciniga,짧아지니까,,,lp-a,lpa,0,0,,,0,lC+Vowel,3,c*alp-acinik*a,lp-a,lpa
Jalp-acinxn,짧아지는,,,lp-a,lpa,0,0,,,0,lC+Vowel,3,c*alp-acinɨn,lp-a,lpa
Jalp-acinxnteyo,짧아지는데요,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acinɨntejo,lp-a,lpa
Jalp-acin,짧아진,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-acin,lp-a,lpa
Jalp-acintanxn,짧아진다는,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acintanɨn,lp-a,lpa
Jalp-acintatxnci,짧아진다든지,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acintatɨnci,lp-a,lpa
Jalp-acyv,짧아져,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌ,lp-a,lpa
Jalp-acyvkaciko,짧아져가지고,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-acjʌkaciko,lp-a,lpa
Jalp-acyvsv,짧아져서,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-acjʌsʌ,lp-a,lpa
Jalp-acyvSkunalanxn,짧아졌구나라는,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌs*kunalanɨn,lp-a,lpa
Jalp-acyvSnxnte,짧아졌는데,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌs*nɨnte,lp-a,lpa
Jalp-acyvSta,짧아졌다,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌs*ta,lp-a,lpa
Jalp-acyvStako,짧아졌다고,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌs*tako,lp-a,lpa
Jalp-acyvStanxn,짧아졌다는,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-acjʌs*tanɨn,lp-a,lpa
Jalp-acyvSxmyvn,짧아졌으면,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-acjʌs*ɨmjʌn,lp-a,lpa
