...1,Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,AffixInitialSegment,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,UR,JunctureType,Production_R,predicted
1,149,73,556014,option_1,갉아,5,lC,low,Vowel,kalk,a,kalka,0.0,,0.0,0.0,,lk-a,lC+Vowel,kalka,kalga
2,156,64,556014,option_2,갉나,5,lC,low,Sonorant,kalk,na,kalkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,kalkna,kalna
3,68,114,556014,option_3,갉다,5,lC,low,Obstruent,kalk,ta,kalkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,kalda,kalda
4,49,76,556014,option_1,겊나,1,C,nonce,Sonorant,kvP,na,kvPna,,1.0,,,,P-n,C+Sonorant,kvmna,kvpna
5,30,102,556014,option_2,겊다,1,C,nonce,Obstruent,kvP,ta,kvPta,1.0,,,,,P-t,C+Obstruent,kvpda,kvpda
6,97,90,556014,option_1,겊어,1,C,nonce,Vowel,kvP,v,kvPv,0.0,,,,,P-v,C+Vowel,kvPv,kvpdv
7,42,30,556014,option_3,겳나,1,lC,nonce,Sonorant,kjvlp,na,kjvlpna,,0.0,1.0,0.0,0.0,lp-n,lC+Sonorant,kyvpna,kvlpna
8,13,51,556014,option_1,겳어,1,lC,nonce,Vowel,kjvlp,v,kjvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,kyvlpv,kilvpv
9,67,70,556014,option_2,겳다,1,lC,nonce,Obstruent,kjvlp,ta,kjvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,kyvlpda,kilvpda
10,1,127,556014,option_2,굵다,5,lC,high,Obstruent,kulk,ta,kulkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,kulkda,kulda
11,43,148,556014,option_2,굵나,5,lC,high,Sonorant,kulk,na,kulkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,kulkna,kulna
12,78,103,556014,option_1,굵어,5,lC,high,Vowel,kulk,v,kulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,kulkv,kulkv
13,169,37,556014,option_3,긁다,5,lC,low,Obstruent,kxlk,ta,kxlkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,kxlda,kxlda
14,148,14,556014,option_1,긁나,5,lC,low,Sonorant,kxlk,na,kxlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,kxNna,kxNna
15,167,7,556014,option_1,긁어,5,lC,low,Vowel,kxlk,v,kxlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,kxlkv,kxlkv
16,101,28,556014,option_2,긆다,1,lC,nonce,Obstruent,kxlP,ta,kxlPta,1.0,,0.0,0.0,,lP-t,lC+Obstruent,kxlPda,kxlda
17,70,17,556014,option_1,긆어,1,lC,nonce,Vowel,kxlP,v,kxlPv,0.0,,0.0,0.0,,lP-v,lC+Vowel,kxlPv,kxlpv
18,132,172,556014,option_3,긆나,1,lC,nonce,Sonorant,kxlP,na,kxlPna,,0.0,1.0,0.0,0.0,lP-n,lC+Sonorant,kxpna,kxlpna
