Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
1,kalk-a,kalka,lk-a,kalka,0.0,0.0,,,0.0,kalk,a,kalka,556014,low,train,kalka,yes,0.0,0.0,,0.0,0.0,kalga,no
2,kalk-na,kalkna,lk-n,kalkna,0.0,0.0,0.0,0.0,,kalk,na,kalkna,556014,low,train,kalkna,yes,0.0,0.0,0.0,0.0,,kalna,no
3,kalk-ta,kalda,lk-t,kalda,1.0,0.0,,,1.0,kalk,ta,kalda,556014,low,train,kalda,yes,1.0,0.0,,0.0,1.0,kalda,yes
4,kvP-na,kvmna,P-n,kvmna,,,1.0,,,kvP,na,kvmna,556014,nonce,train,kvmna,yes,,,1.0,,,kvpna,no
5,kvP-ta,kvpda,P-t,kvpda,,,,,1.0,kvP,ta,kvpda,556014,nonce,train,kvpda,yes,,,,,1.0,kvpda,yes
6,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,556014,nonce,train,kvPv,yes,,,,,0.0,kvpdv,no
7,kjvlp-na,kyvpna,lp-n,kyvpna,0.0,1.0,0.0,0.0,,kjvlp,na,kyvpna,556014,nonce,train,kyvlmna,no,1.0,0.0,1.0,0.0,,kvlpna,no
8,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,556014,nonce,train,kyvlpv,yes,1.0,0.0,,0.0,0.0,kilvpv,no
9,kjvlp-ta,kyvlpda,lp-t,kyvlpda,0.0,0.0,,,1.0,kjvlp,ta,kyvlpda,556014,nonce,train,kyvlpda,yes,1.0,0.0,,0.0,1.0,kilvpda,no
10,kulk-ta,kulkda,lk-t,kulkda,0.0,0.0,,,1.0,kulk,ta,kulkda,556014,high,train,kulda,no,1.0,0.0,,0.0,1.0,kulda,no
11,kulk-na,kulkna,lk-n,kulkna,0.0,0.0,0.0,0.0,,kulk,na,kulkna,556014,high,train,kuNna,no,1.0,1.0,1.0,0.0,,kulna,no
12,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,556014,high,train,kulkv,yes,0.0,0.0,,0.0,0.0,kulkv,yes
13,kxlk-ta,kxlda,lk-t,kxlda,1.0,0.0,,,1.0,kxlk,ta,kxlda,556014,low,train,kxlkda,no,0.0,0.0,,0.0,1.0,kxlda,yes
14,kxlk-na,kxNna,lk-n,kxNna,0.0,1.0,1.0,0.0,,kxlk,na,kxNna,556014,low,train,kxNna,yes,1.0,1.0,1.0,0.0,,kxNna,yes
15,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,556014,low,train,kxlkv,yes,0.0,0.0,,0.0,0.0,kxlkv,yes
16,kxlP-ta,kxlPda,lP-t,kxlPda,0.0,0.0,,,1.0,kxlP,ta,kxlPda,556014,nonce,train,kxlPda,yes,0.0,0.0,,0.0,1.0,kxlda,no
17,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,556014,nonce,train,kxlPv,yes,0.0,0.0,,0.0,0.0,kxlpv,no
18,kxlP-na,kxpna,lP-n,kxpna,0.0,1.0,0.0,0.0,,kxlP,na,kxpna,556014,nonce,train,kxlmna,no,1.0,0.0,1.0,0.0,,kxlpna,no
19,nalk-na,naNna,lk-n,naNna,0.0,1.0,1.0,0.0,,nalk,na,naNna,556014,high,train,naNna,yes,1.0,1.0,1.0,0.0,,nalnka,no
20,nalk-ta,nalda,lk-t,nalda,1.0,0.0,,,1.0,nalk,ta,nalda,556014,high,train,nalkda,no,0.0,0.0,,0.0,1.0,nalda,yes
21,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,556014,high,train,nalka,yes,0.0,0.0,,0.0,0.0,nalga,no
22,nalp-ta,nalpda,lp-t,nalpda,0.0,0.0,,,1.0,nalp,ta,nalpda,556014,nonce,train,nalpda,yes,0.0,0.0,,0.0,1.0,nalda,no
23,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,556014,nonce,train,nalpa,yes,0.0,0.0,,0.0,0.0,nalpa,yes
24,nalp-na,namna,lp-n,namna,0.0,1.0,1.0,0.0,,nalp,na,namna,556014,nonce,train,nalmna,no,1.0,0.0,1.0,0.0,,nalpna,no
25,neT-ta,netda,T-t,netda,,,,,1.0,neT,ta,netda,556014,nonce,train,netda,yes,,,,,1.0,netda,yes
26,neT-na,nenna,T-n,nenna,,,1.0,,,neT,na,nenna,556014,nonce,train,nenna,yes,,,1.0,,,netda,no
