Morphology_R,corrected_Production_R,JunctureType,UR,SR,POT,CS,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
bop-ke*sta,bopge*sta,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
vps-ke*svyo,vpsge*svyo,C+Obstruent,ps-k,psg,1,0,NA,NA,0,0,yes,
vps-ke*svyo,vpke*svyo,C+Obstruent,ps-k,pk,0,1,NA,NA,1,0,no,
vps-ke*svyo,vpge*svyo,C+Obstruent,ps-k,pg,1,1,NA,NA,1,0,yes,
vps-ki,vpsgi,C+Obstruent,ps-k,psg,1,0,NA,NA,0,0,yes,
vps-ki,vpki,C+Obstruent,ps-k,pk,0,1,NA,NA,1,0,no,
vps-ki,vpgi,C+Obstruent,ps-k,pg,1,1,NA,NA,1,0,yes,
vps-ta,vpsda,C+Obstruent,ps-t,psd,1,0,NA,NA,0,0,yes,
vps-ta,vpta,C+Obstruent,ps-t,pt,0,1,NA,NA,1,0,no,
vps-ta,vpda,C+Obstruent,ps-t,pd,1,1,NA,NA,1,0,yes,
vps-cyo,vpsJyo,C+Obstruent,ps-c,psJ,1,0,NA,NA,0,0,yes,
vps-cyo,vpcyo,C+Obstruent,ps-c,pc,0,1,NA,NA,1,0,no,
vps-cyo,vpJyo,C+Obstruent,ps-c,pJ,1,1,NA,NA,1,0,yes,
vps-ci,vpsJi,C+Obstruent,ps-c,psJ,1,0,NA,NA,0,0,yes,
vps-ci,vpci,C+Obstruent,ps-c,pc,0,1,NA,NA,1,0,no,
vps-ci,vpJi,C+Obstruent,ps-c,pJ,1,1,NA,NA,1,0,yes,
vps-ko,vpsgo,C+Obstruent,ps-k,psg,1,0,NA,NA,0,0,yes,
vps-ko,vpko,C+Obstruent,ps-k,pk,0,1,NA,NA,1,0,no,
vps-ko,vpgo,C+Obstruent,ps-k,pg,1,1,NA,NA,1,0,yes,
vps-kuna,vpsguna,C+Obstruent,ps-k,psg,1,0,NA,NA,0,0,yes,
vps-kuna,vpkuna,C+Obstruent,ps-k,pk,0,1,NA,NA,1,0,no,
vps-kuna,vpguna,C+Obstruent,ps-k,pg,1,1,NA,NA,1,0,yes,
vps-ta,vpsda,C+Obstruent,ps-t,psd,1,0,NA,NA,0,0,yes,
vps-te,vpsde,C+Obstruent,ps-t,psd,1,0,NA,NA,0,0,yes,
vps-te,vpte,C+Obstruent,ps-t,pt,0,1,NA,NA,1,0,no,
vps-te,vpde,C+Obstruent,ps-t,pd,1,1,NA,NA,1,0,yes,
vps-canha,vpsJanha,C+Obstruent,ps-c,psJ,1,0,NA,NA,0,0,yes,
vps-canha,vpcanha,C+Obstruent,ps-c,pc,0,1,NA,NA,1,0,no,
vps-canha,vpJanha,C+Obstruent,ps-c,pJ,1,1,NA,NA,1,0,yes,
vps-ci,vpsJi,C+Obstruent,ps-c,psJ,1,0,NA,NA,0,0,yes,
vps-ci,vpci,C+Obstruent,ps-c,pc,0,1,NA,NA,1,0,no,
vps-ci,vpJi,C+Obstruent,ps-c,pJ,1,1,NA,NA,1,0,yes,
Jic-ci,JicJci,C+Obstruent,c-c,Jc,1,0,NA,NA,0,0,yes,
goc-ca,goJca,C+Obstruent,c-c,Jc,1,0,NA,NA,0,0,yes,
goc-ci,goJci,C+Obstruent,c-c,Jc,1,0,NA,NA,0,0,yes,
mac-ciman,macJiman,C+Obstruent,c-c,cJ,1,0,NA,NA,0,0,yes,
kac-ko,kacgo,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
Cac-keSv,CacgeSv,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
Cac-ko,Cacgo,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
Jic-ki,Jicgi,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
nxc-ke,nxcge,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
mac-keSci,macgeSci,C+Obstruent,c-k,cg,1,0,NA,NA,0,0,yes,
kac-ta,kacda,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
mac-ta,macda,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
Cac-taka,Cacdaka,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
nac-ta,nacda,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
mac-ta,macda,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
mac-te,macde,C+Obstruent,c-t,cd,1,0,NA,NA,0,0,yes,
tag-ca,tagJa,C+Obstruent,g-c,gJ,1,0,NA,NA,0,0,yes,
tag-ci,tagJi,C+Obstruent,g-c,gJ,1,0,NA,NA,0,0,yes,
tag-ko,taggo,C+Obstruent,g-k,gg,1,0,NA,NA,0,0,yes,
