Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
bop-keSta,,,bokgetda,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
vps-keSvyo,,,vpgeSvyv,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vps-ki,,,vpki,C+Obstruent,ps-k,pk,,,NA,NA,1,0,no,
vps-ta,,,vpta,C+Obstruent,ps-k,pt,,,NA,NA,1,0,no,
vps-ta,,,vpda,C+Obstruent,ps-k,pd,,,NA,NA,1,0,yes,
vps-ta,,,vtda,C+Obstruent,ps-k,td,,,NA,NA,1,0,yes,
vps-ta,,,vpTa,C+Obstruent,ps-k,pT,,,NA,NA,1,0,no,
vps-cyo,,,vpJyv,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vps-ci,,,vpCi,C+Obstruent,ps-c,pC,,,NA,NA,1,0,no,
vps-ko,,,vpgo,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vps-kuna,,,vpguna,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vps-ta,,,vpda,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vps-ta,,,vpda,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vps-te,,,vpde,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vps-te,,,vpde,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vps-canha,,,vpJana,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vps-ci,,,vpJi,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vps-ci,,,vpJi,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
Jic-ci,,,JiCi,C+Obstruent,c-c,C,,,NA,NA,1,0,no,
goc-ca,,,goCa,C+Obstruent,c-c,C,,,NA,NA,1,0,no,
Jic-ci,,,JitJi,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
goc-ca,,,gotJa,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
goc-ci,,,gotJi,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
mac-ciman,,,matJiman,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
kac-ko,,,kakKu,C+Obstruent,c-k,kK,,,NA,NA,0,0,no,
