Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
Jalp-a,짧아,,Jal.pa,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-acici,짧아지지,,Jal.pacici,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-aciko,짧아지고,,Jal.paciko,lp-a,lpa,0,0,,,0,lC+Vowel,5
Jalp-aciniga,짧아지니까,,Jal.paciniga,lp-a,lpa,0,0,,,0,lC+Vowel,3
Jalp-acinxn,짧아지는,,Jal.pacinxn,lp-a,lpa,0,0,,,0,lC+Vowel,3
Jalp-acinxnteyo,짧아지는데요,,Jal.pacinxnteyo,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acin,짧아진,,Jal.pacin,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-acintanxn,짧아진다는,,Jal.pacintanxn,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acintatxnci,짧아진다든지,,Jal.pacintatxnci,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyv,짧아져,,Jal.pacyv,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyvkaciko,짧아져가지고,,Jal.pacyvkaciko,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-acyvsv,짧아져서,,Jal.pacyvsv,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-acyvSkunalanxn,짧아졌구나라는,,Jal.pacyvSkunalanxn,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyvSnxnte,짧아졌는데,,Jal.pacyvSnxnte,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyvSta,짧아졌다,,Jal.pacyvSta,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyvStako,짧아졌다고,,Jal.pacyvStako,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-acyvStanxn,짧아졌다는,,Jal.pacyvStanxn,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-acyvSxmyvn,짧아졌으면,,Jal.pacyvSxmyvn,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-akaciko,짧아가지고,,Jal.pakaciko,lp-a,lpa,0,0,,,0,lC+Vowel,3
Jalp-asv,짧아서,,Jal.pasv,lp-a,lpa,0,0,,,0,lC+Vowel,20
Jalp-ato,짧아도,,Jal.pato,lp-a,lpa,0,0,,,0,lC+Vowel,3
Jalp-ayo,짧아요,,Jal.payo,lp-a,lpa,0,0,,,0,lC+Vowel,5
Jalp-aSki,짧았기,,Jal.paSki,lp-a,lpa,0,0,,,0,lC+Vowel,3
Jalp-aSkvtxnyo,짧았거든요,,Jal.paSkvtxnyo,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-aSnxnte,짧았는데,,Jal.paSnxnte,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-aStanxn,짧았다는,,Jal.paStanxn,lp-a,lpa,0,0,,,0,lC+Vowel,1
Jalp-aStvn,짧았던,,Jal.paStvn,lp-a,lpa,0,0,,,0,lC+Vowel,4
Jalp-aSvyo,짧았어요,,Jal.paSvyo,lp-a,lpa,0,0,,,0,lC+Vowel,2
Jalp-x,짧으,,Jal.px,lp-x,lpx,0,0,,,0,lC+Vowel,1
Jalp-xmyvn,짧으면,,Jal.pxmyvn,lp-x,lpx,0,0,,,0,lC+Vowel,8
Jalp-xniga,짧으니까,,Jal.pxniga,lp-x,lpx,0,0,,,0,lC+Vowel,5
Jalp-xl,짧을,,Jal.pxl,lp-x,lpx,0,0,,,0,lC+Vowel,2
Jalp-xn,짧은,,Jal.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,151
Jalp-xnte,짧은데,,Jal.pxnte,lp-x,lpx,0,0,,,0,lC+Vowel,6
Jalp-xnteto,짧은데도,,Jal.pxnteto,lp-x,lpx,0,0,,,0,lC+Vowel,1
Poknvlp-xn,폭넓은,,Poknvl.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,4
cilm-vcikeSta,짊어지겠다,,cil.mvcikeSta,lm-v,lmv,0,0,,,0,lC+Vowel,1
cilm-vciko,짊어지고,,cil.mvciko,lm-v,lmv,0,0,,,0,lC+Vowel,11
cilm-vcilyvko,짊어지려고,,cil.mvcilyvko,lm-v,lmv,0,0,,,0,lC+Vowel,1
cilm-vcinxn,짊어지는,,cil.mvcinxn,lm-v,lmv,0,0,,,0,lC+Vowel,2
cilm-vcil,짊어질,,cil.mvcil,lm-v,lmv,0,0,,,0,lC+Vowel,1
cilm-vcilga,짊어질까,,cil.mvcilga,lm-v,lmv,0,0,,,0,lC+Vowel,1
cilm-vcyvto,짊어져도,,cil.mvcyvto,lm-v,lmv,0,0,,,0,lC+Vowel,1
cilm-vcyvya,짊어져야,,cil.mvcyvya,lm-v,lmv,0,0,,,0,lC+Vowel,2
cispalp-apvlin,짓밟아버린,,cispal.papvlin,lp-a,lpa,0,0,,,0,lC+Vowel,1
cispalp-aStvn,짓밟았던,,cispal.paStvn,lp-a,lpa,0,0,,,0,lC+Vowel,1
cvlm-v,젊어,,cvl.mv,lm-v,lmv,0,0,,,0,lC+Vowel,6
cvlm-vciko,젊어지고,,cvl.mvciko,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vciniga,젊어지니까,,cvl.mvciniga,lm-v,lmv,0,0,,,0,lC+Vowel,2
cvlm-vcinxn,젊어지는,,cvl.mvcinxn,lm-v,lmv,0,0,,,0,lC+Vowel,2
cvlm-vcin,젊어진,,cvl.mvcin,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vkaciko,젊어가지고,,cvl.mvkaciko,lm-v,lmv,0,0,,,0,lC+Vowel,1
