,overall,,,,,,,,,,,,,,,,,,,,
,,556014,556033,556505,559838,563118,565631,575760,578085,578698,581952,585660,589028,592117,592166,594939,597515,mean,sd,min,max
predictors,597515,0.78,0.66,0.69,0.80,0.82,0.74,0.38,0.79,0.73,0.75,0.55,0.76,0.78,0.65,0.84,0.98,0.73,0.12,0.38,0.84
,592117,0.73,0.62,0.71,0.73,0.77,0.70,0.42,0.79,0.72,0.73,0.57,0.73,0.98,0.64,0.76,0.79,0.71,0.10,0.42,0.79
,563118,0.74,0.61,0.68,0.75,0.96,0.71,0.39,0.76,0.73,0.72,0.59,0.72,0.77,0.61,0.82,0.82,0.71,0.11,0.39,0.82
,556014,0.96,0.63,0.68,0.71,0.76,0.68,0.46,0.71,0.69,0.69,0.55,0.72,0.73,0.63,0.74,0.79,0.70,0.08,0.46,0.79
,578085,0.70,0.59,0.71,0.73,0.77,0.76,0.38,0.94,0.66,0.74,0.50,0.76,0.76,0.61,0.70,0.78,0.69,0.11,0.38,0.78
,559838,0.69,0.54,0.70,0.95,0.76,0.76,0.39,0.75,0.63,0.73,0.55,0.76,0.73,0.57,0.72,0.81,0.69,0.11,0.39,0.81
,589028,0.71,0.55,0.74,0.77,0.72,0.86,0.33,0.77,0.63,0.75,0.47,0.93,0.72,0.56,0.69,0.76,0.69,0.14,0.33,0.86
,594939,0.72,0.59,0.59,0.69,0.81,0.66,0.37,0.68,0.74,0.70,0.59,0.66,0.74,0.62,0.96,0.81,0.68,0.11,0.37,0.81
,581952,0.71,0.57,0.65,0.71,0.73,0.73,0.34,0.76,0.66,0.94,0.53,0.74,0.72,0.57,0.74,0.75,0.68,0.12,0.34,0.76
,565631,0.68,0.55,0.73,0.75,0.72,0.93,0.31,0.77,0.61,0.74,0.47,0.86,0.70,0.55,0.69,0.75,0.68,0.14,0.31,0.86
,578698,0.68,0.61,0.59,0.64,0.74,0.62,0.44,0.68,0.96,0.65,0.61,0.64,0.70,0.65,0.78,0.74,0.67,0.08,0.44,0.78
,556505,0.65,0.54,0.94,0.68,0.66,0.72,0.36,0.71,0.59,0.64,0.46,0.73,0.68,0.51,0.60,0.67,0.63,0.11,0.36,0.73
,592166,0.62,0.61,0.51,0.57,0.61,0.53,0.56,0.60,0.64,0.54,0.53,0.56,0.63,0.97,0.62,0.64,0.61,0.04,0.51,0.64
,556033,0.61,0.97,0.54,0.54,0.61,0.54,0.54,0.62,0.60,0.56,0.54,0.54,0.60,0.61,0.61,0.64,0.60,0.04,0.54,0.64
,585660,0.54,0.53,0.46,0.53,0.58,0.46,0.58,0.49,0.60,0.49,0.97,0.46,0.54,0.53,0.59,0.53,0.56,0.05,0.46,0.60
,575760,0.42,0.53,0.35,0.39,0.38,0.29,0.95,0.37,0.43,0.34,0.58,0.32,0.41,0.53,0.36,0.39,0.44,0.08,0.29,0.58
,,,,,,,,,,,,,,,,,,,,,
,high frequency,,,,,,,,,,,,,,,,,,,,
,,556014,556033,556505,559838,563118,565631,575760,578085,578698,581952,585660,589028,592117,592166,594939,597515,mean,sd,min,max
predictors,592117,0.65,0.68,0.72,0.73,0.82,0.70,0.46,0.82,0.68,0.76,0.50,0.72,0.97,0.60,0.75,0.80,0.71,0.11,0.46,0.82
,597515,0.72,0.68,0.70,0.75,0.77,0.77,0.37,0.78,0.68,0.76,0.47,0.77,0.78,0.65,0.77,0.93,0.71,0.12,0.37,0.78
,563118,0.68,0.62,0.65,0.70,0.88,0.70,0.44,0.75,0.66,0.66,0.52,0.70,0.80,0.63,0.77,0.77,0.68,0.09,0.44,0.80
,578085,0.68,0.57,0.67,0.72,0.78,0.72,0.41,0.85,0.68,0.69,0.43,0.73,0.77,0.65,0.70,0.78,0.68,0.11,0.41,0.78
,589028,0.68,0.57,0.72,0.75,0.72,0.82,0.37,0.72,0.61,0.72,0.42,0.87,0.70,0.58,0.67,0.77,0.67,0.12,0.37,0.82
,581952,0.70,0.58,0.62,0.67,0.68,0.70,0.37,0.72,0.69,0.88,0.48,0.70,0.73,0.58,0.78,0.73,0.66,0.11,0.37,0.78
,556014,0.90,0.60,0.63,0.67,0.70,0.67,0.49,0.68,0.64,0.66,0.48,0.72,0.67,0.67,0.68,0.72,0.66,0.07,0.48,0.72
,559838,0.63,0.53,0.68,0.90,0.72,0.75,0.42,0.72,0.58,0.71,0.52,0.75,0.72,0.55,0.65,0.75,0.66,0.10,0.42,0.75
,565631,0.67,0.53,0.70,0.73,0.73,0.85,0.34,0.72,0.63,0.71,0.43,0.83,0.70,0.55,0.68,0.77,0.66,0.13,0.34,0.83
,578698,0.63,0.60,0.60,0.58,0.65,0.62,0.47,0.68,0.92,0.64,0.57,0.62,0.65,0.68,0.75,0.68,0.65,0.06,0.47,0.75
,556505,0.60,0.65,0.88,0.67,0.65,0.68,0.46,0.65,0.59,0.62,0.45,0.70,0.68,0.53,0.60,0.70,0.63,0.08,0.45,0.70
